"code","동","구","집세","청년남자비율","청년여자비율","범죄안전","교통안전","편의시설","쇼핑시설","외식시설","대중교통","체육시설"
1121065,"신원동","관악구",64.4595375194121,77.2605303525372,63.2750792036311,48.5375376590378,47.0394924731937,55.5433801910049,47.7394968820526,41.0699943380797,39.8515609020663,41.3282946350019
1115057,"신월1동","양천구",60.8781841780788,48.6854004266789,37.4441630459078,46.6943248841529,46.511319793161,69.3847535024602,50.6365850090341,45.4302750190373,30.4152929688998,41.9090105908985
1115058,"신월2동","양천구",66.0785389348389,49.1178032997412,44.0960272621736,47.5001629686992,46.7225888651741,46.5024831725404,42.7500673300289,36.4916996230742,30.4152929688998,37.5536409216741
1115059,"신월3동","양천구",54.5187814867784,52.6634123453555,37.1655305549043,47.827239394398,48.5183759772855,45.5690572266812,41.3015232665382,37.3637557592657,30.4152929688998,36.1018510319327
1115060,"신월4동","양천구",63.1460080514544,43.2577108870125,45.543317740022,48.9492865761583,48.4127414412789,44.1022450260453,41.3015232665382,40.6339662699839,30.4152929688998,40.457220701157
1115061,"신월5동","양천구",54.4461664502971,49.1425604319663,45.9838884461672,49.5681538023228,50.736701233423,42.7687793891036,44.3595607339075,41.1426656827623,30.4152929688998,43.0704425026916
1115062,"신월6동","양천구",41.6407815830762,42.9716032031041,32.708104701544,60.8059701971382,67.3213233864517,56.8768458279467,39.8529792030475,35.8376575209306,30.4152929688998,36.9729249657776
1115063,"신월7동","양천구",54.5187814867784,48.463771504647,39.3674704111707,47.0984979468592,45.9831471131282,44.2355915897395,41.7843712877018,40.1979382018882,30.4152929688998,40.7475786791053
1115064,"신정1동","양천구",40.5934491251435,22.0091321862048,29.8226700814264,48.6361937317797,46.9338579371872,49.302761010118,42.7500673300289,41.8693791295886,68.1603647015657,40.1668627232088
1115065,"신정2동","양천구",88.8545288055673,26.9489552244783,31.6383279670736,48.6807262470733,47.4620306172199,53.9432214266751,45.4862061166225,42.4507498870496,68.1603647015657,42.7800845247434
1115066,"신정3동","양천구",35.409153455884,38.0736268736497,37.6541392810794,44.5617897545966,42.0746692808858,54.0765679903693,46.6128514993376,44.703561572211,68.1603647015657,45.393306326278
1115072,"신정4동","양천구",175.437503137496,55.6511062785607,55.332999140012,44.9378754813045,43.447918248971,60.343856483995,53.8555718167913,58.9471451300058,68.1603647015657,69.2026605180377
