"","동","gu","code","cctv"
"123","미성동","관악구",1121083,0.591651669
"124","미아동","강북구",1109070,0.361219665
"125","반포1동","서초구",1122057,0.491841786
"126","반포2동","서초구",1122058,0.491841786
"127","반포3동","서초구",1122059,0.491841786
"128","반포4동","서초구",1122060,0.491841786
"129","반포본동","서초구",1122056,0.491841786
"130","발산1동","강서구",1116067,0.29581589
"131","방배1동","서초구",1122062,0.491841786
"132","방배2동","서초구",1122063,0.491841786
"133","방배3동","서초구",1122064,0.491841786
"134","방배4동","서초구",1122065,0.491841786
"135","방배본동","서초구",1122061,0.491841786
"136","방이1동","송파구",1124057,0.464322487
"137","방이2동","송파구",1124058,0.464322487
"138","방학1동","도봉구",1110055,0.240858753
"139","방학2동","도봉구",1110056,0.240858753
"140","방학3동","도봉구",1110057,0.240858753
"141","방화1동","강서구",1116070,0.29581589
"142","방화2동","강서구",1116071,0.29581589
"143","방화3동","강서구",1116072,0.29581589
"144","번1동","강북구",1109060,0.361219665
"145","번2동","강북구",1109061,0.361219665
"146","번3동","강북구",1109062,0.361219665
"147","보광동","용산구",1103070,0.416053686
"148","보라매동","관악구",1121052,0.591651669
"149","보문동","성북구",1108061,0.405292278
"150","부암동","종로구",1101055,0.295603883
"151","북가좌1동","서대문구",1113071,0.335271061
"152","북가좌2동","서대문구",1113072,0.335271061
"153","북아현동","서대문구",1113074,0.335271061
"154","불광1동","은평구",1112052,0.480012358
"155","불광2동","은평구",1112072,0.480012358
"156","사근동","성동구",1104055,0.221037581
"157","사당1동","동작구",1120063,0.268762902
"158","사당2동","동작구",1120073,0.268762902
"159","사당3동","동작구",1120065,0.268762902
"160","사당4동","동작구",1120066,0.268762902
"161","사당5동","동작구",1120067,0.268762902
"162","사직동","종로구",1101053,0.295603883
"163","삼각산동","강북구",1109073,0.361219665
"164","삼선동","성북구",1108082,0.405292278
"165","삼성1동","강남구",1123058,2.103431263
"166","삼성2동","강남구",1123059,2.103431263
"167","삼성동","관악구",1121082,0.591651669
"168","삼양동","강북구",1109069,0.361219665
"169","삼전동","송파구",1124064,0.464322487
"170","삼청동","종로구",1101054,0.295603883
"171","상계10동","노원구",1111074,0.486077647
"172","상계1동","노원구",1111065,0.486077647
"173","상계2동","노원구",1111066,0.486077647
"174","상계3.4동","노원구",1111076,0.486077647
"175","상계5동","노원구",1111069,0.486077647
"176","상계6.7동","노원구",1111077,0.486077647
"177","상계8동","노원구",1111072,0.486077647
"178","상계9동","노원구",1111073,0.486077647
"179","상도1동","동작구",1120053,0.268762902
"180","상도2동","동작구",1120054,0.268762902
"181","상도3동","동작구",1120055,0.268762902
"182","상도4동","동작구",1120056,0.268762902
"183","상봉1동","중랑구",1107059,0.211373461
"184","상봉2동","중랑구",1107060,0.211373461
"185","상암동","마포구",1114074,0.314850839
"186","상일동","강동구",1125052,0.802558907
"187","서강동","마포구",1114076,0.314850839
"188","서교동","마포구",1114066,0.314850839
"189","서림동","관악구",1121066,0.591651669
"190","서빙고동","용산구",1103069,0.416053686
"191","서원동","관악구",1121064,0.591651669
"192","서초1동","서초구",1122051,0.491841786
"193","서초2동","서초구",1122052,0.491841786
"194","서초3동","서초구",1122053,0.491841786
"195","서초4동","서초구",1122054,0.491841786
"196","석관동","성북구",1108085,0.405292278
"197","석촌동","송파구",1124063,0.464322487
"198","성내1동","강동구",1125065,0.802558907
"199","성내2동","강동구",1125066,0.802558907
"200","성내3동","강동구",1125067,0.802558907
"201","성북동","성북구",1108081,0.405292278
"202","성산1동","마포구",1114072,0.314850839
"203","성산2동","마포구",1114073,0.314850839
"204","성수1가1동","성동구",1104065,0.221037581
"205","성수1가2동","성동구",1104066,0.221037581
"206","성수2가1동","성동구",1104067,0.221037581
"207","성수2가3동","성동구",1104068,0.221037581
"208","성현동","관악구",1121079,0.591651669
"209","세곡동","강남구",1123076,2.103431263
"210","소공동","중구",1102052,0.153731482
"211","송정동","성동구",1104069,0.221037581
"212","송중동","강북구",1109071,0.361219665
"213","송천동","강북구",1109072,0.361219665
"214","송파1동","송파구",1124061,0.464322487
"215","송파2동","송파구",1124062,0.464322487
"216","수궁동","구로구",1117069,0.463925827
"217","수색동","은평구",1112068,0.480012358
"218","수서동","강남구",1123075,2.103431263
"219","수유1동","강북구",1109063,0.361219665
"220","수유2동","강북구",1109064,0.361219665
"221","수유3동","강북구",1109065,0.361219665
"222","숭인1동","종로구",1101070,0.295603883
"223","숭인2동","종로구",1101071,0.295603883
"224","시흥1동","금천구",1118057,0.305944659
"225","시흥2동","금천구",1118058,0.305944659
"226","시흥3동","금천구",1118059,0.305944659
"227","시흥4동","금천구",1118060,0.305944659
"228","시흥5동","금천구",1118061,0.305944659
"229","신길1동","영등포구",1119063,0.32394311
"230","신길3동","영등포구",1119065,0.32394311
"231","신길4동","영등포구",1119066,0.32394311
"232","신길5동","영등포구",1119067,0.32394311
"233","신길6동","영등포구",1119068,0.32394311
"234","신길7동","영등포구",1119069,0.32394311
"235","신내1동","중랑구",1107069,0.211373461
"236","신내2동","중랑구",1107070,0.211373461
"237","신당5동","중구",1102065,0.153731482
"238","신당동","중구",1102069,0.153731482
"239","신대방1동","동작구",1120069,0.268762902
"240","신대방2동","동작구",1120070,0.268762902
"241","신도림동","구로구",1117051,0.463925827
"242","신림동","관악구",1121069,0.591651669
"243","신사1동","은평구",1112065,0.480012358
"244","신사2동","은평구",1112066,0.480012358
"245","신사동","관악구",1121068,0.591651669
"246","신사동","강남구",1123051,2.103431263
"247","신수동","마포구",1114063,0.314850839
"248","신원동","관악구",1121065,0.591651669
"249","신월1동","양천구",1115057,0.672636893
"250","신월2동","양천구",1115058,0.672636893
"251","신월3동","양천구",1115059,0.672636893
"252","신월4동","양천구",1115060,0.672636893
"253","신월5동","양천구",1115061,0.672636893
"254","신월6동","양천구",1115062,0.672636893
"255","신월7동","양천구",1115063,0.672636893
"256","신정1동","양천구",1115064,0.672636893
"257","신정2동","양천구",1115065,0.672636893
"258","신정3동","양천구",1115066,0.672636893
"259","신정4동","양천구",1115072,0.672636893
"260","신정6동","양천구",1115069,0.672636893
"261","신정7동","양천구",1115070,0.672636893
"262","신촌동","서대문구",1113075,0.335271061
"263","쌍문1동","도봉구",1110051,0.240858753
"264","쌍문2동","도봉구",1110052,0.240858753
"265","쌍문3동","도봉구",1110053,0.240858753
"266","쌍문4동","도봉구",1110054,0.240858753
"267","아현동","마포구",1114078,0.314850839
"268","안암동","성북구",1108060,0.405292278
"269","암사1동","강동구",1125072,0.802558907
"270","암사2동","강동구",1125058,0.802558907
"271","암사3동","강동구",1125059,0.802558907
